"county","date","actual_cases"
"屏東縣","2020-02-26",0
"澎湖縣","2020-02-26",0
"花蓮縣","2020-02-26",0
"台東縣","2020-02-26",0
"金門縣","2020-02-26",0
"連江縣","2020-02-26",0
"台北市","2020-02-27",7
"台中市","2020-02-27",4
"台南市","2020-02-27",1
"高雄市","2020-02-27",2
"基隆市","2020-02-27",0
"新竹市","2020-02-27",0
"嘉義市","2020-02-27",0
"新北市","2020-02-27",9
"桃園市","2020-02-27",1
"新竹縣","2020-02-27",0
"宜蘭縣","2020-02-27",1
"苗栗縣","2020-02-27",0
"彰化縣","2020-02-27",5
"南投縣","2020-02-27",2
"雲林縣","2020-02-27",0
"嘉義縣","2020-02-27",0
"屏東縣","2020-02-27",0
"澎湖縣","2020-02-27",0
"花蓮縣","2020-02-27",0
"台東縣","2020-02-27",0
"金門縣","2020-02-27",0
"連江縣","2020-02-27",0
"台北市","2020-02-28",7
"台中市","2020-02-28",4
"台南市","2020-02-28",1
"高雄市","2020-02-28",2
"基隆市","2020-02-28",0
"新竹市","2020-02-28",0
"嘉義市","2020-02-28",0
"新北市","2020-02-28",9
"桃園市","2020-02-28",3
"新竹縣","2020-02-28",0
"宜蘭縣","2020-02-28",1
"苗栗縣","2020-02-28",0
"彰化縣","2020-02-28",5
"南投縣","2020-02-28",2
"雲林縣","2020-02-28",0
"嘉義縣","2020-02-28",0
"屏東縣","2020-02-28",0
"澎湖縣","2020-02-28",0
"花蓮縣","2020-02-28",0
"台東縣","2020-02-28",0
"金門縣","2020-02-28",0
"連江縣","2020-02-28",0
"台北市","2020-02-29",8
"台中市","2020-02-29",4
"台南市","2020-02-29",1
"高雄市","2020-02-29",2
"基隆市","2020-02-29",0
"新竹市","2020-02-29",0
"嘉義市","2020-02-29",0
"新北市","2020-02-29",9
"桃園市","2020-02-29",7
"新竹縣","2020-02-29",0
"宜蘭縣","2020-02-29",1
"苗栗縣","2020-02-29",0
"彰化縣","2020-02-29",5
"南投縣","2020-02-29",2
"雲林縣","2020-02-29",0
"嘉義縣","2020-02-29",0
"屏東縣","2020-02-29",0
"澎湖縣","2020-02-29",0
"花蓮縣","2020-02-29",0
"台東縣","2020-02-29",0
"金門縣","2020-02-29",0
"連江縣","2020-02-29",0
"台北市","2020-03-01",9
"台中市","2020-03-01",4
"台南市","2020-03-01",1
"高雄市","2020-03-01",2
"基隆市","2020-03-01",0
"新竹市","2020-03-01",0
"嘉義市","2020-03-01",0
"新北市","2020-03-01",9
"桃園市","2020-03-01",7
"新竹縣","2020-03-01",0
"宜蘭縣","2020-03-01",1
"苗栗縣","2020-03-01",0
"彰化縣","2020-03-01",5
"南投縣","2020-03-01",2
"雲林縣","2020-03-01",0
"嘉義縣","2020-03-01",0
"屏東縣","2020-03-01",0
"澎湖縣","2020-03-01",0
"花蓮縣","2020-03-01",0
"台東縣","2020-03-01",0
"金門縣","2020-03-01",0
"連江縣","2020-03-01",0
"台北市","2020-03-02",9
"台中市","2020-03-02",4
"台南市","2020-03-02",1
"高雄市","2020-03-02",2
"基隆市","2020-03-02",0
"新竹市","2020-03-02",0
"嘉義市","2020-03-02",0
"新北市","2020-03-02",9
"桃園市","2020-03-02",8
"新竹縣","2020-03-02",0
"宜蘭縣","2020-03-02",1
"苗栗縣","2020-03-02",0
"彰化縣","2020-03-02",5
"南投縣","2020-03-02",2
"雲林縣","2020-03-02",0
"嘉義縣","2020-03-02",0
"屏東縣","2020-03-02",0
"澎湖縣","2020-03-02",0
"花蓮縣","2020-03-02",0
"台東縣","2020-03-02",0
"金門縣","2020-03-02",0
"連江縣","2020-03-02",0
"台北市","2020-03-03",9
"台中市","2020-03-03",4
"台南市","2020-03-03",1
"高雄市","2020-03-03",2
"基隆市","2020-03-03",0
"新竹市","2020-03-03",0
"嘉義市","2020-03-03",0
"新北市","2020-03-03",9
"桃園市","2020-03-03",9
"新竹縣","2020-03-03",0
"宜蘭縣","2020-03-03",1
"苗栗縣","2020-03-03",0
"彰化縣","2020-03-03",5
"南投縣","2020-03-03",2
"雲林縣","2020-03-03",0
